slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle.,branchiopod_cuticle.,clamShrimp_cuticle.,plant.algal_cuticle.,other.,Morpho1,Morpho2,Morpho3,Preservation,strat_height,Description.notes,no_specimens,Imaged,sample_name,Mass..g.,Mesh,HF_date,Water_.date,Collection_date,acid_time,rinse_time,Inspection.complete.,Notes_pre.maceration,Notes_duringmaceration,Notes_post.maceration,Notes_microscopeobservations,rock_name,base..from.lower.SS..cm.,top.from.lower.SS..cm.,date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes
CSD-14,CSD-14,NA,NA,specimen,,,,,x,Or,OrF,OrF1,1,NA,partial bullseye,1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-15,CSD-15,NA,NA,specimen,,,,,x,Or,OrF,OrF1,1,NA,partial bullseye,1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-16,CSD-16a,NA,NA,specimen,,,,,x,Or,OrF,OrF1,2,NA,bullseye,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-16,CSD-16b,NA,NA,specimen,,,,,x,Or,OrF,OrF1,2,NA,bullseye,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-16,CSD-16c,NA,NA,specimen,,,,,x,Or,OrF,OrF1,2,NA,bullseye,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-17,CSD-17,NA,NA,specimen,x,x,,,,Tr,TrP,TrP1,3,NA,tergopleurae,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-18,CSD-18,NA,NA,specimen,,,,x,,Ph,PhL,PhL,NA,NA,liverwort herbivory,1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-19,CSD-19,NA,NA,specimen,x,,,,,Or,OrR,OrR1,NA,NA,circular cuticle or sac,1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-2,CSD-2,NA,NA,specimen,x,x,,,,Ap,ApT,ApT3,2,NA,shrimp tail furca (broken a bit),1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-288,CSD-288,4/11/23,Jamie Hernandez,specimen,x,,,,,Ap,ApW,ApW2,2,NA,small podomore w macrosetae,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-288,CSD-288,4/11/23,Jamie Hernandez,specimen,x,x,,,,Tr,TrP,TrP1,2,NA," 3 stacked partial tergopleurae with possible decomposition evidence!, c. scrap of shrimp segment, d. another set of 2? Tergopleurae, e. bilobed structure",1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-288,CSD-288,4/11/23,Jamie Hernandez,specimen,x,x,,,,Tr,TrP,TrP1,1,NA,scrap of shrimp segment,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-288,CSD-288,4/11/23,Jamie Hernandez,specimen,x,x,,,,Tr,TrP,TrP1,1,NA, another set of 2?  Partial Tergopleurae,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-288,CSD-288,4/11/23,Jamie Hernandez,specimen,x,,,,x,Or,Or?,Or?,1,NA,bilobed structure,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-3,CSD-3,NA,NA,specimen,,,,,,U,U,U,NA,NA,listed as tergopleurae but photo looks like valve/eggsac? Double check,1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-4,CSD-4,NA,NA,specimen,x,x,,,,Ap,ApB,ApB2,2,NA,"serrated cuticle lobe; Dieter (in person): upper spines jointed, lower fixed, exopod flap?; Bill Shear: could be crustacean telson, podomere",1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-431,CSD-431a,11/21/23,Shreya Jariwala,specimen,,,,,x,Br,BrM,BrM1,2,NA,liverwort surrounded by fungi,1,x (take more photos),CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-431,CSD-431b,11/21/23,Shreya Jariwala,specimen,,,,,x,Br,BrM,BrM1,2,NA,liverwort surrounded by fungi,1,x (take more photos),CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-444,CSD-444,2/1/24,Shreya Jariwala,specimen,,,,,x,Or,OrR,OrR3,NA,NA,series of 6 connected orbs in two rows,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-5,CSD-5,NA,NA,specimen,x,,,,,Tr,Tr,Tr,1,NA,segments (degraded),1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-6,CSD-6,NA,NA,specimen,x,,,,,Va,Va,Va,NA,NA,short cylinder with 2 lines (setae?),1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-60,CSD-60,12/15/21,James Pinto,specimen,x,x,,,,Ap,ApT,ApT1,1,NA,partial maxillary endite,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-7,CSD-7,NA,NA,specimen,x,,,,,Br,BrA,BrA7,2,NA,thin rod--appendage?,1,x,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-8,CSD-8,NA,NA,specimen,,,,,x,Or,OrR,OrR3,NA,NA,series of segments/circles,1,NA,CSD-21-B,6.2,105µm,8/13/21,8/17/21,8/20/21,4,3,x,"liverworts, more on one side",well dissolved,0,"liverwort herbivory*, circular discs*, hexagon node*, nice frisbeekite*,  ""exopod""serrated paddle***; ""maxilla"" shovel***; 3 articulated trunk segments of shrimp*, furcal rami**, bilobed cuticle***",6.15.21-CSD-2,NA,NA,6/15/21,Chuck Ver Straeten,"""Kens -2, coll. Chuck just above sandstone base, liverworts; Chuck found loose flakes with l.w's, Susan packaged, ~1 cm",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-183,CSD-183,2/13/23,Liuliu Gould,specimen,x,,,,,Ap,ApT,ApT1,NA,67,arthropod limb shaft with socket,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-184,CSD-184a,2/13/23,Liuliu Gould,specimen,,,,,x,Or,OrR,OrR2,NA,67,7 orb cluster,1,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-184,CSD-184b,2/13/23,Liuliu Gould,specimen,,,,,x,Or,OrR,OrR,NA,67,3 orb cluster,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-195,CSD-195,2/22/23,Jamie Hernandez,specimen,,,,,x,Or,OrR,OrR1,NA,67,cluster of 4,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-20,CSD-20a,NA,NA,specimen,,,,,x,Or,OrF,OrF1,NA,67,Frisbeekite discs,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-20,CSD-20b,NA,NA,specimen,,,,,x,Or,OrF,OrF1,NA,67,Frisbeekite discs,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-21,CSD-21,NA,NA,specimen,x,x,,,,Tr,TrP,TrP1,3,67,tergopleurae,1,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-22,CSD-22,NA,NA,specimen,,,,,x,Or,OrS,OrS1,1,67,sac structure (football shape),1,x,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-23,CSD-23,NA,NA,specimen,,,,,x,Or,OrR,OrR3,NA,67,clusters of circles (cells?),1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-24,CSD-24,NA,NA,specimen,x,x,x,,,Va,Va,Va,NA,67,large (broken) clam shrimp,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-25,CSD-25a,NA,NA,specimen,,,,,x,Or,OrR,OrR,NA,67,clusters of large cells/circles,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-25,CSD-25b,NA,NA,specimen,,,,,x,Or,OrR,OrR,NA,67,clusters of large cells/circles,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-25,CSD-25c,NA,NA,specimen,,,,,x,Or,OrR,OrR,NA,67,clusters of large cells/circles,1,NA,CSD-21-C,3.4,150µm,8/17/21,8/20/21,8/26/21,3,6,x,69-65 cm; liverworts and ostracods on one side,0,"sample looks good, large flakes, fossils tend to clump, fair amount of sediment, not as many fossils as CSD21B","*stacked tergopleurae; discs*,  clusters; spied cuticle; liverwort herbvory*;",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
