slide_name,specimen_name,date_slide_prepped,preparator,slide_type,arthropod_cuticle?,branchiopod_cuticle?,clamShrimp_cuticle?,plant-algal_cuticle?,other?,Morphotype,Preservation,Description/notes,no_specimens,Imaged,sample_name,Mass (g),Mesh,HF_date,Water_ date,Collection_date,acid_time,rinse_time,Inspection complete?,Notes_pre-maceration,Notes_duringmaceration,Notes_post-maceration,Notes_microscopeobservations,rock_name,base  from lower SS (cm),top from lower SS (cm),date_collected,collector,field_notes,locality_name,microsite_name,lat,long,rock_unit,site_notes
CSD-175,CSD-175a,2/6/23,Liuliu Gould,specimen,x,x,,,,ApB2,1,scrap of liverworts with ApB2 and with OrR1 cluster; collected by Liuliu 10/27/22,1,x,CSD-21-G,3.2,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","much more material than CSD-21#H, large flakes","6/1/2022: very large, very well preserved liverworts not coalified; algal nodes w branches common*, thin tergopleurae*, other tergopleurae*, frisbeekites, herbivory*, caudal furca*, part of paddle*, small abdominal series*, endite border*; serrated cuticle collected by Gullermo 9/30/22 and nice frisbeekite 10/4/2022",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-175,CSD-175b,2/6/23,Liuliu Gould,specimen,,,,,x,OrR1,NA,scrap of liverwort with OrR1(2 orbs); collected by Liuliu 10/27/22,1,x,CSD-21-G,3.2,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","much more material than CSD-21#H, large flakes","6/1/2022: very large, very well preserved liverworts not coalified; algal nodes w branches common*, thin tergopleurae*, other tergopleurae*, frisbeekites, herbivory*, caudal furca*, part of paddle*, small abdominal series*, endite border*; serrated cuticle collected by Gullermo 9/30/22 and nice frisbeekite 10/4/2022",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-175,CSD-175c,2/6/23,Liuliu Gould,specimen,,,,,x,OrR1,NA,scrap of liverworts with ApB2 and with OrR1 cluster; collected by Liuliu 10/27/22,1,x,CSD-21-G,3.2,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","much more material than CSD-21#H, large flakes","6/1/2022: very large, very well preserved liverworts not coalified; algal nodes w branches common*, thin tergopleurae*, other tergopleurae*, frisbeekites, herbivory*, caudal furca*, part of paddle*, small abdominal series*, endite border*; serrated cuticle collected by Gullermo 9/30/22 and nice frisbeekite 10/4/2022",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-177,CSD-177,2/7/23,Layla Chapeta,specimen,x,x,,,,Va3,2,large cuticle fragmen with cellular or scaled texture,1,x,CSD-21-G,3.2,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","much more material than CSD-21#H, large flakes","6/1/2022: very large, very well preserved liverworts not coalified; algal nodes w branches common*, thin tergopleurae*, other tergopleurae*, frisbeekites, herbivory*, caudal furca*, part of paddle*, small abdominal series*, endite border*; serrated cuticle collected by Gullermo 9/30/22 and nice frisbeekite 10/4/2022",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-258,CSD-258,4/4/23,Shreya Jariwala,specimen,,,,,x,OrF1,2,frisbeekite disc with bulb attached to it?; collected by Liuliu,1,x,CSD-21-G,3.2,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","much more material than CSD-21#H, large flakes","6/1/2022: very large, very well preserved liverworts not coalified; algal nodes w branches common*, thin tergopleurae*, other tergopleurae*, frisbeekites, herbivory*, caudal furca*, part of paddle*, small abdominal series*, endite border*; serrated cuticle collected by Gullermo 9/30/22 and nice frisbeekite 10/4/2022",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-262,CSD-262,4/4/23,Shreya Jariwala,specimen,,,,,x,TrA1,2,abdominal or telson segment from shrimp; collected by Layla 4/4/23,1,x,CSD-21-G,3.2,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","much more material than CSD-21#H, large flakes","6/1/2022: very large, very well preserved liverworts not coalified; algal nodes w branches common*, thin tergopleurae*, other tergopleurae*, frisbeekites, herbivory*, caudal furca*, part of paddle*, small abdominal series*, endite border*; serrated cuticle collected by Gullermo 9/30/22 and nice frisbeekite 10/4/2022",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-148,CSD-148b,11/7/22,Liuliu Gould,specimen,,,,,x,BrA5,1,algal branch,1,x,CSD-21-G,3.2,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","much more material than CSD-21#H, large flakes","6/1/2022: very large, very well preserved liverworts not coalified; algal nodes w branches common*, thin tergopleurae*, other tergopleurae*, frisbeekites, herbivory*, caudal furca*, part of paddle*, small abdominal series*, endite border*; serrated cuticle collected by Gullermo 9/30/22 and nice frisbeekite 10/4/2022",6.28.2021-CSD-21,65,69,6/28/21,Tanner Frank,"loose l.w. layer, collected into ziploc",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-189,CSD-189a,2/17/23,Guillermo Roque,specimen,x,,,,,Tr,1,cuticle scrap; collected 4/15/22 Tanner,1,x,CSD-21-H,5.08,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","not much material but large flakes, some visible branching algae","not much, but the liverworts are nice; interesting piece of cuticle with large socket**, tergopleura*,",6.28.2021-CSD-15,76,NA,6/28/21,Tanner Frank,"liverworts, loose",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-190,CSD-190a,2/17/23,Guillermo Roque,specimen,x,x,,,,TrP1,1,"very small tergopleura, other arthropod scraps; collected 4/15/22 Tanner",1,x,CSD-21-H,5.08,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","not much material but large flakes, some visible branching algae","not much, but the liverworts are nice; interesting piece of cuticle with large socket**, tergopleura*,",6.28.2021-CSD-15,76,NA,6/28/21,Tanner Frank,"liverworts, loose",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-190,CSD-190b,2/17/23,Guillermo Roque,specimen,x,,,,,Va,1,"very small tergopleura, other arthropod scraps; collected 4/15/22 Tanner",1,x,CSD-21-H,5.08,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","not much material but large flakes, some visible branching algae","not much, but the liverworts are nice; interesting piece of cuticle with large socket**, tergopleura*,",6.28.2021-CSD-15,76,NA,6/28/21,Tanner Frank,"liverworts, loose",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-193,CSD-193a,2/21/23,Shreya Jariwala,specimen,x,,,,,ApT,2,sclerotized mouthpart?; plus a liverwort scrap,1,x,CSD-21-H,5.08,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","not much material but large flakes, some visible branching algae","not much, but the liverworts are nice; interesting piece of cuticle with large socket**, tergopleura*,",6.28.2021-CSD-15,76,NA,6/28/21,Tanner Frank,"liverworts, loose",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-193,CSD-193b,2/21/23,Shreya Jariwala,specimen,x,x,,,,TrS2,2,carapace from anostracan!,1,x,CSD-21-H,5.08,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","not much material but large flakes, some visible branching algae","not much, but the liverworts are nice; interesting piece of cuticle with large socket**, tergopleura*,",6.28.2021-CSD-15,76,NA,6/28/21,Tanner Frank,"liverworts, loose",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-189,CSD-189b,2/17/23,Guillermo Roque,specimen,x,,,,,Va,1,cuticle scrap; collected 4/15/22 Tanner,1,x,CSD-21-H,5.08,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","not much material but large flakes, some visible branching algae","not much, but the liverworts are nice; interesting piece of cuticle with large socket**, tergopleura*,",6.28.2021-CSD-15,76,NA,6/28/21,Tanner Frank,"liverworts, loose",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-189,CSD-189c,2/17/23,Guillermo Roque,specimen,x,,,,,Tr,1,cuticle scrap; collected 4/15/22 Tanner,1,x,CSD-21-H,5.08,105µm,3/31/22,4/13/22,4/15/22,13,2,x,surface lw,"lots of organic gunk, flakes","not much material but large flakes, some visible branching algae","not much, but the liverworts are nice; interesting piece of cuticle with large socket**, tergopleura*,",6.28.2021-CSD-15,76,NA,6/28/21,Tanner Frank,"liverworts, loose",Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-186,CSD-186a,2/16/23,Layla Chapeta,specimen,x,,,,,Ap,1,"translucent cuticle, difficult to make out what it is but seems to have small spines and a socket; collected 2/9/23 by Shreya",1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-186,CSD-186b,2/16/23,Layla Chapeta,specimen,,,,,x,OrR1,NA,double orb but broken?; collected 2/9/23 by Shreya,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-216,CSD-216,4/8/23,Liuliu Gould,specimen,,,,,x,OrR3,NA,double orb; collected Jamie 2/16/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-217,CSD-217,4/9/23,Liuliu Gould,specimen,x,,,,,Va?,NA,clam shrimp scrap w detailed circular inclusion; collected Jamie 2/16/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-218,CSD-218a,4/10/23,Liuliu Gould,specimen,,,,,x,OrR3,NA,3 orbs; collected Jamie 2/15/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-218,CSD-218b,4/10/23,Liuliu Gould,specimen,,,,,x,OrR1,NA,3 orbs; collected Jamie 2/15/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-238,CSD-238b,3/23/23,Jamie Hernandez,specimen,x,,,,,Tr,1,"cuticle pieces, unclear morphology; collected by Jamie 2/16/23",1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-353,CSD-353,8/31/23,Shreya Jariwala,specimen,x,x,,,,TrP1,2,3 tergopleurae; collected Tanner 4/19/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-355,CSD-355,9/7/23,Jamie Hernandez,specimen,x,x,,,,SpS1,2,arthropod cuticle with complex spines and small circles ; collected Jamie 4/12/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-356,CSD-356a,9/7/23,Jamie Hernandez,specimen,,,,,x,OrS1,3,football eggsac ; collected Jamie 4/12/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-356,CSD-356b,9/7/23,Jamie Hernandez,specimen,,,,,x,OrR3,NA,cluster; collected Jamie 4/12/23,1,x,CSD-21-I,5.4,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, lots of ostracods, some shiny flecks that might be l.w.s","easy maceration. **bottom fell out during maceration :(, but I captured most of it with a funnel! May have mixed with some CSD-21-J fine fraction",decent amount of medium-sized l.w's and and organic flakes,"murky, grey, small liverwort flakes; spores",6.28.2021-CSD-16,69,NA,6/28/21,Tanner Frank,bottom of l.w. block,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-239,CSD-239,3/23/23,Jamie Hernandez,specimen,x,,,,,ApT,2,large appendage base or algae branch?; collected by Jamie 3/20/23,1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-240,CSD-240a,3/23/23,Jamie Hernandez,specimen,x,,,,,Va,1,large cuticle fragment; collected by Jamie 2/17/23,1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-240,CSD-240b,3/23/23,Jamie Hernandez,specimen,x,,,,,OrF1,1,large cuticle fragment; collected by Jamie 2/17/23,1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-264,CSD-264,4/4/23,Shreya Jariwala,specimen,,,,,x,OrF1,3,frisbeekite with mostly complete tail; collected Layla 4/4/23,1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-280,CSD-280,4/10/23,Liuliu Gould,specimen,,,,,,BrM2,2,fungi (looks paleo); collected Guillermo 4/7/23,1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-311,CSD-311,4/24/23,Jamie Hernandez,specimen,x,,,,,SpT,1,"spiky cuticle, folded; jamie 4/14/23",1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-427,CSD-427,11/21/23,Shreya Jariwala,specimen,,,,x,x,Or,NA,"possibly partial NoH, or orb with plant cuticle",1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-433,CSD-433,11/21/23,Shreya Jariwala,specimen,,,,x,,NoH1,3,folded but generally complete node with branches,1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-435,CSD-435,11/21/23,Shreya Jariwala,specimen,,,,x,,NoC3,2,nicely preserved node and some surrounding tissue,1,x,CSD-21-J,2.9,105µm,6/6/22,6/7/22,6/13/22,1,6,0,"dark with thin layers, a few ostracods on one side, other side has at least a few clear l.w.s on surface","a little clumpy, not obvious flakes. Was in same acid tray as CSD-21-J when the bottom of that one fell off","dense with organic flakes and large, intact l.w's","clumpy, but nice liverworts; arthropod fossils",6.28.2021-CSD-23,67,68,6/28/21,Tanner Frank,very nice l.w.s!,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-81,CSD-81,9/19/22,Liuliu Gould,specimen,x,,,,,Va,1,piece of almost opaque cuticle with interesting internal structures but hard to resolve,1,x,CSD-21-L,5.45,105µm,6/7/22,6/9/22,6/12/22,2,3,X,from concretion; somewhat greenish with larger orange rusty spots. Some shiny surface but look like planes of slippage more than plant fossils--no visible l.w.s; very crumbly,turned white uppon adding HF,"very little material, no clear l.w's, but a few large charcoalified fibrous plants***","charcoalified, mostly unidentifiable small plant fragments; interesting cuticle plate; 3d spores?, other interesting spores*",6.28.2021-CSD-9,96,96,6/28/21,Tanner Frank,0,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-82,CSD-82a,9/19/22,Liuliu Gould,specimen,,,,,x,OrR3,NA,double circle,1,x,CSD-21-L,5.45,105µm,6/7/22,6/9/22,6/12/22,2,3,X,from concretion; somewhat greenish with larger orange rusty spots. Some shiny surface but look like planes of slippage more than plant fossils--no visible l.w.s; very crumbly,turned white uppon adding HF,"very little material, no clear l.w's, but a few large charcoalified fibrous plants***","charcoalified, mostly unidentifiable small plant fragments; interesting cuticle plate; 3d spores?, other interesting spores*",6.28.2021-CSD-9,96,96,6/28/21,Tanner Frank,0,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-82,CSD-82b,9/19/22,Liuliu Gould,specimen,,,,,x,OrR6,NA,charcoalified partial sporelike,1,x,CSD-21-L,5.45,105µm,6/7/22,6/9/22,6/12/22,2,3,X,from concretion; somewhat greenish with larger orange rusty spots. Some shiny surface but look like planes of slippage more than plant fossils--no visible l.w.s; very crumbly,turned white uppon adding HF,"very little material, no clear l.w's, but a few large charcoalified fibrous plants***","charcoalified, mostly unidentifiable small plant fragments; interesting cuticle plate; 3d spores?, other interesting spores*",6.28.2021-CSD-9,96,96,6/28/21,Tanner Frank,0,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-82,CSD-82c,9/19/22,Liuliu Gould,specimen,,,,,x,OrR,NA,dark circle (not charcoalified),1,x,CSD-21-L,5.45,105µm,6/7/22,6/9/22,6/12/22,2,3,X,from concretion; somewhat greenish with larger orange rusty spots. Some shiny surface but look like planes of slippage more than plant fossils--no visible l.w.s; very crumbly,turned white uppon adding HF,"very little material, no clear l.w's, but a few large charcoalified fibrous plants***","charcoalified, mostly unidentifiable small plant fragments; interesting cuticle plate; 3d spores?, other interesting spores*",6.28.2021-CSD-9,96,96,6/28/21,Tanner Frank,0,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
CSD-82,CSD-82d,9/19/22,Liuliu Gould,specimen,,,,,x,OrR6,NA,charcoalified trilete spore,1,x,CSD-21-L,5.45,105µm,6/7/22,6/9/22,6/12/22,2,3,X,from concretion; somewhat greenish with larger orange rusty spots. Some shiny surface but look like planes of slippage more than plant fossils--no visible l.w.s; very crumbly,turned white uppon adding HF,"very little material, no clear l.w's, but a few large charcoalified fibrous plants***","charcoalified, mostly unidentifiable small plant fragments; interesting cuticle plate; 3d spores?, other interesting spores*",6.28.2021-CSD-9,96,96,6/28/21,Tanner Frank,0,Cairo Quarry,CS_D,42.31961,-74.04759,Plattekill Fm.,"=Ms -2, calcareous layer here; detailed measurements and sampling of section 2021"
